172.18.0.1 - - [25/Jan/2017:17:22:12 +0000] "GET /administrator/index.php HTTP/1.1" 200 2425 "http://172.18.0.5/administrator/index.php" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
172.18.0.1 - - [25/Jan/2017:17:24:01 +0000] "POST /administrator/index.php HTTP/1.1" 303 289 "http://172.18.0.5/administrator/index.php" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
172.18.0.1 - - [25/Jan/2017:17:24:01 +0000] "GET /administrator/index.php HTTP/1.1" 200 2425 "http://172.18.0.5/administrator/index.php" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
172.18.0.1 - - [25/Jan/2017:17:36:59 +0000] "GET /administrator/ HTTP/1.1" 200 2315 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
172.18.0.1 - - [25/Jan/2017:17:36:59 +0000] "GET /media/jui/js/jquery-noconflict.js HTTP/1.1" 304 180 "http://172.18.0.5/administrator/" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
172.18.0.1 - - [25/Jan/2017:17:36:59 +0000] "GET /media/system/js/core.js HTTP/1.1" 200 2771 "http://172.18.0.5/administrator/" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
172.18.0.1 - - [25/Jan/2017:17:36:59 +0000] "GET /media/jui/js/jquery-migrate.min.js HTTP/1.1" 200 4366 "http://172.18.0.5/administrator/" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
172.18.0.1 - - [25/Jan/2017:17:36:59 +0000] "GET /administrator/templates/isis/css/template.css?a80c004ac894997edf228a2c814706ad HTTP/1.1" 200 28804 "http://172.18.0.5/administrator/" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
172.18.0.1 - - [25/Jan/2017:17:36:59 +0000] "GET /media/jui/js/bootstrap.min.js HTTP/1.1" 200 8053 "http://172.18.0.5/administrator/" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
172.18.0.1 - - [25/Jan/2017:17:36:59 +0000] "GET /media/jui/js/jquery.min.js HTTP/1.1" 200 34114 "http://172.18.0.5/administrator/" "Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0"
